**********************************************************
OPT++ version 2.4
Job run at Mon Dec 21 19:38:20 2015
   48     0.005683      0.01315      0.8846        166.4   49   0      1e+02
   49      0.00571      0.01315      0.8845        165.5   50   0      1e+02
   50     0.005754      0.01315      0.8624        164.7   51   0      1e+02
   51     0.005804      0.01315      0.8625        163.9   52   0      1e+02
   52     0.005808      0.01315      0.9349        163.2   53   0      1e+02
   53     0.005832      0.01315      0.9348        162.5   54   0      1e+02
   54     0.005853      0.01315       0.934        161.8   55   0      1e+02
   55     0.005859      0.01315      0.9336        161.2   56   0      1e+02
   56     0.005873      0.01315      0.9333        160.6   57   0      1e+02
   57      0.00592      0.01315       0.933        159.9   58   0      1e+02
   58     0.005952      0.01315      0.9029        159.3   59   0      1e+02
   59     0.005959      0.01315      0.9157        158.7   60   0      1e+02
   60     0.005963      0.01315      0.9521        158.2   61   0      1e+02
   61     0.005983      0.01315      0.8948        157.7   62   0      1e+02
   62     0.005983      0.01315      0.8941        157.2   63   0      1e+02
   63     0.006005      0.01315      0.8934        156.7   64   0      1e+02
   64     0.006036      0.01315       0.893        156.2   65   0      1e+02
   65     0.006077      0.01315      0.8492        155.7   66   0      1e+02
   66     0.006077      0.01315      0.9418        155.3   67   0      1e+02
   67     0.006073      0.01315      0.9413        154.9   68   0      1e+02
   68     0.006084      0.01315      0.8616        154.5   69   0      1e+02
   69     0.006098      0.01315      0.8613        154.1   70   0      1e+02
   70     0.006121      0.01315      0.8611        153.7   71   0      1e+02
   71     0.006131      0.01315      0.9105        153.4   72   0      1e+02
   72     0.006162      0.01315      0.8627          153   73   0      1e+02
   73     0.006165      0.01315      0.9453        152.7   74   0      1e+02
   74     0.006169      0.01315      0.9465        152.4   75   0      1e+02
   75     0.006195      0.01315      0.9469        152.1   76   0      1e+02
   76     0.006203      0.01315      0.9092        151.8   77   0      1e+02
   77     0.006206      0.01315      0.9353        151.5   78   0      1e+02
   78     0.006211      0.01315      0.8591        151.2   79   0      1e+02
   79     0.006214      0.01315      0.8588        150.9   80   0      1e+02
   80     0.006217      0.01315      0.8584        150.7   81   0      1e+02
   81     0.006225      0.01315      0.8577        150.5   82   0      1e+02
   82     0.006227      0.01315      0.8574        150.2   83   0      1e+02
   83      0.00623      0.01315      0.9311          150   84   0      1e+02
   84      0.00624      0.01315      0.8983        149.8   85   0      1e+02
   85     0.006237      0.01315      0.8978        149.6   86   0      1e+02
   86     0.006239      0.01315      0.9389        149.4   87   0      1e+02
   87     0.006252      0.01315      0.8456        149.2   88   0      1e+02
   88     0.006256      0.01315      0.9299          149   89   0      1e+02
   89     0.006267      0.01315      0.9221        148.8   90   0      1e+02
   90     0.006267      0.01315      0.9446        148.7   91   0      1e+02
   91     0.006275      0.01315       0.821        148.5   92   0      1e+02
   92     0.006295      0.01315      0.8209        148.3   93   0      1e+02
   93     0.006296      0.01315      0.9539        148.2   94   0      1e+02
   94     0.006299      0.01315      0.9221          148   95   0      1e+02
   95     0.006299      0.01315      0.9115        147.9   96   0      1e+02
   96     0.006301      0.01315      0.9113        147.8   97   0      1e+02
   97     0.006314      0.01315      0.9111        147.6   98   0      1e+02
   98     0.006312      0.01315      0.9108        147.5   99   0      1e+02
   99     0.006313      0.01315      0.9455        147.4  100   0      1e+02
  100     0.006316      0.01315      0.9452        147.2  101   0      1e+02
  101     0.006312      0.01315      0.9497        147.1  102   0      1e+02
  102     0.006314      0.01315      0.9494          147  103   0      1e+02
  103     0.006314      0.01315      0.9493        146.9  104   0      1e+02
  104      0.00631      0.01315       0.949        146.8  105   0      1e+02
  105     0.006321      0.01315      0.8775        146.7  106   0      1e+02
  106     0.006325      0.01315      0.8772        146.5  107   0      1e+02
  107     0.006323      0.01315      0.9229        146.4  108   0      1e+02
  108     0.006327      0.01315        0.93        146.3  109   0      1e+02
  109     0.006326      0.01315       0.941        146.2  110   0      1e+02
  110     0.006327      0.01315      0.9408        146.1  111   0      1e+02
  111     0.006328      0.01315      0.8975          146  112   0      1e+02
  112     0.006328      0.01315      0.9289          146  113   0      1e+02
  113     0.006328      0.01315      0.9287        145.9  114   0      1e+02
  114     0.006331      0.01315      0.9285        145.8  115   0      1e+02
  115     0.006332      0.01315      0.9228        145.7  116   0      1e+02
  116     0.006338      0.01315      0.9226        145.6  117   0      1e+02
  117      0.00634      0.01315      0.9224        145.5  118   0      1e+02
  118     0.006341      0.01315      0.9349        145.4  119   0      1e+02
  119     0.006345      0.01315       0.808        145.4  120   0      1e+02
  120     0.006347      0.01315      0.8914        145.3  121   0      1e+02
  121     0.006348      0.01315      0.8902        145.2  122   0      1e+02
  122      0.00635      0.01315      0.8975        145.1  123   0      1e+02
  123      0.00635      0.01315      0.8977        145.1  124   0      1e+02
  124     0.006351      0.01315      0.9306          145  125   0      1e+02
  125     0.006351      0.01315      0.9308        144.9  126   0      1e+02
  126     0.006352      0.01315      0.8766        144.9  127   0      1e+02
  127     0.006351      0.01315      0.8767        144.8  128   0      1e+02
  128     0.006353      0.01315      0.9472        144.8  129   0      1e+02
  129     0.006354      0.01315      0.9468        144.7  130   0      1e+02
  130     0.006355      0.01315      0.9467        144.6  131   0      1e+02
  131     0.006355      0.01315      0.9467        144.6  132   0      1e+02
  132     0.006354      0.01315      0.9095        144.5  133   0      1e+02
  133     0.006356      0.01315      0.9094        144.4  134   0      1e+02
  134     0.006357      0.01315      0.9095        144.4  135   0      1e+02
  135     0.006357      0.01315      0.9096        144.3  136   0      1e+02
  136     0.006357      0.01315      0.9188        144.3  137   0      1e+02
  137     0.006359      0.01315      0.9187        144.2  138   0      1e+02
  138     0.006358      0.01315      0.8371        144.2  139   0      1e+02
  139     0.006361      0.01315      0.8371        144.1  140   0      1e+02
  140     0.006361      0.01315      0.8982        144.1  141   0      1e+02
  141      0.00636      0.01315      0.8981          144  142   0      1e+02
  142     0.006358      0.01315       0.903          144  143   0      1e+02
  143     0.006359      0.01315      0.9029        143.9  144   0      1e+02
  144      0.00636      0.01315      0.9127        143.9  145   0      1e+02
  145     0.006361      0.01315      0.8911        143.8  146   0      1e+02
  146     0.006356      0.01315      0.8912        143.8  147   0      1e+02
  147     0.006367      0.01315      0.8474        143.7  148   0      1e+02
  148      0.00637      0.01315      0.8117        143.7  149   0      1e+02
  149     0.006371      0.01315      0.9106        143.7  150   0      1e+02
  150     0.006371      0.01315      0.9108        143.6  151   0      1e+02
  151     0.006371      0.01315      0.9315        143.6  152   0      1e+02
  152     0.006372      0.01315      0.9438        143.5  153   0      1e+02
  153     0.006371      0.01315      0.8971        143.5  154   0      1e+02
  154     0.006372      0.01315      0.9524        143.5  155   0      1e+02
  155     0.006371      0.01315      0.9523        143.4  156   0      1e+02
  156     0.006373      0.01315       0.952        143.4  157   0      1e+02
  157     0.006373      0.01315      0.9009        143.4  158   0      1e+02
  158     0.006371      0.01315      0.9008        143.3  159   0      1e+02
  159      0.00637      0.01315      0.9007        143.3  160   0      1e+02
  160      0.00637      0.01315      0.9277        143.3  161   0      1e+02
  161     0.006371      0.01315      0.9383        143.2  162   0      1e+02
  162     0.006372      0.01315      0.8572        143.2  163   0      1e+02
  163     0.006374      0.01315      0.8881        143.2  164   0      1e+02
  164     0.006367      0.01315      0.9542        143.2  165   0      1e+02
  165     0.006368      0.01315      0.9542        143.1  166   0      1e+02
  166      0.00637      0.01315      0.9541        143.1  167   0      1e+02
  167     0.006368      0.01315      0.8659        143.1  168   0      1e+02
  168      0.00637      0.01315      0.8658          143  169   0      1e+02
  169     0.006369      0.01315      0.8714          143  170   0      1e+02
  170     0.006369      0.01315      0.9221          143  171   0      1e+02
  171      0.00637      0.01315      0.9222          143  172   0      1e+02
  172     0.006369      0.01315      0.9265        142.9  173   0      1e+02
  173      0.00637      0.01315      0.9264        142.9  174   0      1e+02
  174      0.00637      0.01315      0.9283        142.9  175   0      1e+02
  175     0.006372      0.01315      0.9282        142.9  176   0      1e+02
  176     0.006371      0.01315      0.9282        142.8  177   0      1e+02
  177     0.006372      0.01315      0.9281        142.8  178   0      1e+02
  178     0.006374      0.01315      0.9547        142.8  179   0      1e+02
  179     0.006374      0.01315       0.918        142.8  180   0      1e+02
  180     0.006371      0.01315       0.954        142.8  181   0      1e+02
  181     0.006374      0.01315         0.9        142.7  182   0      1e+02
  182     0.006374      0.01315      0.9299        142.7  183   0      1e+02
  183     0.006375      0.01315      0.9298        142.7  184   0      1e+02
  184     0.006375      0.01315      0.9298        142.7  185   0      1e+02
  185     0.006387      0.01315      0.8939        142.6  186   0      1e+02
  186     0.006387      0.01315      0.9146        142.6  187   0      1e+02
  187     0.006387      0.01315       0.886        142.6  188   0      1e+02
  188     0.006387      0.01315      0.8537        142.6  189   0      1e+02
  189     0.006387      0.01315      0.8452        142.6  190   0      1e+02
  190     0.006387      0.01315      0.8451        142.5  191   0      1e+02
  191     0.006387      0.01315      0.8451        142.5  192   0      1e+02
  192     0.006388      0.01315      0.8456        142.5  193   0      1e+02
  193     0.006388      0.01315      0.8412        142.5  194   0      1e+02
  194     0.006383      0.01315      0.8412        142.5  195   0      1e+02
  195     0.006383      0.01315      0.8407        142.5  196   0      1e+02
  196     0.006383      0.01315      0.8393        142.4  197   0      1e+02
  197     0.006384      0.01315      0.8393        142.4  198   0      1e+02
  198     0.006383      0.01315      0.8713        142.4  199   0      1e+02
  199     0.006383      0.01315      0.8712        142.4  200   0      1e+02
  200     0.006384      0.01315      0.8712        142.4  201   0      1e+02
  201     0.006384      0.01315      0.8632        142.3  202   0      1e+02
  202     0.006383      0.01315      0.8632        142.3  203   0      1e+02
  203     0.006384      0.01315      0.9243        142.3  204   0      1e+02
  204     0.006383      0.01315      0.9244        142.3  205   0      1e+02
  205     0.006385      0.01315      0.9244        142.3  206   0      1e+02
  206     0.006386      0.01315      0.8988        142.3  207   0      1e+02
  207     0.006385      0.01315      0.8988        142.2  208   0      1e+02
  208     0.006385      0.01315      0.8987        142.2  209   0      1e+02
  209     0.006384      0.01315      0.8987        142.2  210   0      1e+02
  210     0.006385      0.01315      0.4493        142.2  212   1      1e+02
  211     0.006386      0.01315      0.1124        142.2  216   4      1e+02
step_type = -1


=========  Solution from Opt++  ===========

Optimization method       = Nonlinear Interior-Point Method
Dimension of the problem  = 6
No. equalities            = 0
No. inequalities          = 13
Merit Function (0= NormFmu, 1 = Argaez, 2 = Vanderbei) = 1
Return code               = -1 (Algorithm terminated - Number of backtracks exceeds the specified limit)
No. iterations taken      = 212
No. function evaluations  = 221
No. gradient evaluations  = 221
No. backtracks in lnsrch  = 9


=========  Solution from Opt++  ===========


    i	    xc 		 grad  		 fcn_accrcy 
     0     0.02077	      0.1625	    2.22e-16
     1     0.01414	      0.1569	    2.22e-16
     2      0.4173	    0.002088	    2.22e-16
     3      0.4153	    0.001476	    2.22e-16
     4      0.1499	    0.006219	    2.22e-16
     5      0.1434	    0.006217	    2.22e-16
Function Value     =     0.006386
Norm of gradient   =       0.2261


==============================================



=========  Solution from Opt++  ===========


    i	   y    



=====================================


    i	    z 	      s

    0      0.1286      0.3039
    1      0.1461      0.2674
    2      0.1498      0.2608
    3      0.1243      0.3146
    4      0.1251      0.3127
    5      0.1317      0.2968
    6      0.1347      0.2904
    7      0.1554      0.2512
    8      0.1515      0.2579
    9      0.1396        0.28
   10      0.1386       0.282
   11      0.1682       0.232
   12      0.1637      0.2384


==========  Tolerances  ===========

Machine Epsilon      = 2.22045e-16
Maximum Step         = 1000
Minimum Step         = 1.49012e-08
Maximum Iter         = 500
Maximum Backtracks   = 5
Maximum Fcn Eval     = 1000
Step Tolerance       = 1.49012e-08
Function Tolerance   = 1e-06
Constraint Tolerance = 1.49012e-08
Gradient Tolerance   = 0.0001
LineSearch Tolerance = 0.0001
